"","","","","","","","","","Normalized abundance","","","","","","","","","","","","Raw abundance","","","","","","","","","","","","Spectral counts","","","","","","","","","","","",
"","","","","","","","","","Condition 1","","","Condition 2","","","Condition 3","","","Condition 4","","","Condition 1","","","Condition 2","","","Condition 3","","","Condition 4","","","Condition 1","","","Condition 2","","","Condition 3","","","Condition 4","","",
"Accession","Peptide count","Peptides used for quantitation","Confidence score","Anova (p)*","Max fold change","Highest mean condition","Lowest mean condition","Description","A11-05004","A11-05005","A11-05006","A11-05008","A11-05009","A11-05010","A11-05012","A11-05013","A11-05014","A11-05016","A11-05017","A11-05018","A11-05004","A11-05005","A11-05006","A11-05008","A11-05009","A11-05010","A11-05012","A11-05013","A11-05014","A11-05016","A11-05017","A11-05018","A11-05004","A11-05005","A11-05006","A11-05008","A11-05009","A11-05010","A11-05012","A11-05013","A11-05014","A11-05016","A11-05017","A11-05018",
"PLEC1_HUMAN","225","183","12500.13","0.871906759142396","1.02612028761794","Condition 2","Condition 3","Plectin-1 OS=Homo sapiens GN=PLEC1 PE=1 SV=3","223321062.895954","208290160.719803","213250910.943195","218781713.690848","218225884.564165","208405107.408817","213890117.160996","213430380.178533","201662979.014987","229472233.141697","203149552.513486","206555472.001368","196630636.063334","136241365.150727","184651733.157011","251812935.292382","212628731.341944","234884234.00632","213890117.160996","210098396.630479","109674666.005712","235329586.947942","133924706.662177","159112456.712898","118","124","127","137","139","137","136","127","127","103","134","137",
"AHNK_HUMAN","188","162","9551.9","0.850679516843939","1.05782592757351","Condition 4","Condition 1","Neuroblast differentiation-associated protein AHNAK OS=Homo sapiens GN=AHNAK PE=1 SV=2","255321958.931057","199044279.953968","249227587.343649","233305093.718029","248266276.255326","222705661.039755","246420713.64146","255265518.114643","206437853.552643","262619064.879445","239516401.728378","242144325.25752","224806914.916667","130193689.095339","215803560.932051","268529025.925894","241898633.888398","251001759.27829","246420713.64146","251280422.337594","112271487.557662","269322502.407393","157899259.16831","186527028.780705","134","111","139","135","132","124","136","141","130","123","137","135",
"FLNA_HUMAN","141","124","10206.38","0.438278623964433","1.08876595558237","Condition 2","Condition 3","Filamin-A OS=Homo sapiens GN=FLNA PE=1 SV=4","1001442850.40667","804533232.305049","930485896.576419","933273992.655634","962714976.81204","929119818.285761","872358942.294581","883059698.45997","839361966.839216","1002159869.7137","913563023.723297","888116933.439356","881754466.430626","526240440.256889","805698004.857567","1074177816.59184","938022840.747131","1047170098.33181","872358942.294581","869273749.220894","456488066.479208","1027740328.17252","602259067.055695","684128412.375952","132","131","143","143","138","142","133","136","150","129","146","142",
"PRKDC_HUMAN","139","124","7349.80000000001","0.789609999637615","1.04914114691787","Condition 4","Condition 1","DNA-dependent protein kinase catalytic subunit OS=Homo sapiens GN=PRKDC PE=1 SV=3","102005429.717588","87773944.1297693","90519335.6449177","96213703.7430484","90447696.5166742","96751252.5310872","94800960.1361233","92873524.4019093","92778022.5377932","108134054.244569","90476129.2944621","95462726.0172937","89814154.8637886","57412418.9619799","78379745.8924224","110739854.561721","88127854.317332","109044083.04801","94800960.1361233","91423622.7754489","50457444.8131439","110894211.347424","59645659.6914515","73536221.1126572","72","67","77","83","92","84","91","80","80","77","96","88",
"MYH9_HUMAN","135","99","9986.72","0.456257942267716","1.091729287724","Condition 4","Condition 3","Myosin-9 OS=Homo sapiens GN=MYH9 PE=1 SV=4","416498555.149206","363054225.661582","395389186.659522","405719130.170546","388584430.974235","389837536.424888","378678363.404352","388380999.223191","331093123.939924","439065950.676511","379115271.304636","380704009.99149","366720338.674924","237471626.873499","342363360.912767","466973785.646834","378617847.018001","439368748.053039","378678363.404352","382317761.652673","180065413.901281","450273252.676312","249928689.836787","293261416.525419","106","102","112","103","114","109","115","108","101","103","115","104",
"DYHC1_HUMAN","116","99","5690.41","0.562460543816358","1.05880087997749","Condition 2","Condition 1","Cytoplasmic dynein 1 heavy chain 1 OS=Homo sapiens GN=DYNC1H1 PE=1 SV=5","50027556.464553","42639786.747436","47492897.2882116","50653280.9742052","47842161.8396989","49906343.1655654","48764495.8452382","49685787.3088987","47486679.582026","51070528.0359216","46707726.5057471","47636463.7532363","44048466.0101342","27890432.9236242","41123602.9807732","58300811.1104211","46615085.0846483","56247245.2438778","48764495.8452382","48910114.1092968","25825690.7059372","52374119.9680811","30791692.5917132","36695008.3841989","50","33","48","56","52","51","55","51","40","40","43","55",
"TLN1_HUMAN","114","105","8590.99","0.683513431814439","1.06160872196186","Condition 1","Condition 3","Talin-1 OS=Homo sapiens GN=TLN1 PE=1 SV=3","219699480.285522","206044637.654944","204180481.312039","209453522.988641","200789301.440232","208074222.798625","201658811.331762","205841706.473706","185867439.918543","234855678.275504","194169771.027628","196675851.704151","193441890.304155","134772581.763281","176797743.017115","241076393.183524","195639369.351341","234511308.509553","201658811.331762","202628194.044501","101084242.105181","240850446.279596","128004858.026015","151502052.390758","103","93","88","98","92","89","101","90","93","89","94","97",
"FLNB_HUMAN","112","92","6866.2","0.498500655074478","1.07796767849647","Condition 4","Condition 3","Filamin-B OS=Homo sapiens GN=FLNB PE=1 SV=1","170553753.02049","144928809.998967","161275139.755684","160441593.649961","164453602.13846","158213385.545474","158788410.206278","156655543.482869","142125593.629465","175360609.806877","159499132.804347","158385440.062502","150169860.84753","94797079.4957116","139646456.558203","184664741.666088","160235624.005603","178315350.978884","158788410.206278","154209904.332718","77295183.7184587","179836746.728783","105148518.957608","122006433.582797","77","72","78","79","90","73","85","81","70","78","76","85",
