,,,,,,,,,"Normalized abundance",,,,,,"Raw abundance",,,,,,"Spectral counts",,,,,
,,,,,,,,,"RG",,,"DOC-ISD",,,"RG",,,"DOC-ISD",,,"RG",,,"DOC-ISD",,
"Accession","Peptide count","Unique peptides","Confidence score","Anova (p)","Max fold change","Highest mean condition","Lowest mean condition","Description","A15-02208","A15-02209","A15-02210","A15-02212","A15-02213","A15-02214","A15-02208","A15-02209","A15-02210","A15-02212","A15-02213","A15-02214","A15-02208","A15-02209","A15-02210","A15-02212","A15-02213","A15-02214"
"sp|P78527|PRKDC_HUMAN","140","134","7574.3","0.0213998901995807","1.17320092313317","DOC-ISD","RG","DNA-dependent protein kinase catalytic subunit OS=Homo sapiens GN=PRKDC PE=1 SV=3","32144632.5277356","31706340.8916125","32539182.2807861","35777835.1279288","36373390.1614826","40933794.3589365","32144632.5277356","26499069.0402111","25456967.5600065","32989837.307294","34305298.9169829","36037614.6251711","49","51","42","57","71","83"
"sp|Q14204|DYHC1_HUMAN","113","108","5102.98","0.302159440763501","1.09761808671867","DOC-ISD","RG","Cytoplasmic dynein 1 heavy chain 1 OS=Homo sapiens GN=DYNC1H1 PE=1 SV=5","13258302.6370542","13233173.5420623","13155368.6062737","15076628.9572708","15955055.0482768","12485409.9122245","13258302.6370542","11059831.2341039","10292077.6852954","13901778.4241099","15047894.3600825","10992003.0112187","35","39","35","40","44","40"
"sp|P49327|FAS_HUMAN","94","92","6657.29","0.000490565027696177","1.24905226122099","DOC-ISD","RG","Fatty acid synthase OS=Homo sapiens GN=FASN PE=1 SV=3","70414169.3320122","74394934.4766581","72138283.676923","87932279.5394897","90649126.8027024","92397218.5626737","70414169.3320122","62176727.0994192","56437249.4536337","81080132.034115","85495065.9733456","81345387.2807761","37","58","61","46","64","70"
"sp|Q13813|SPTN1_HUMAN","82","78","4397.74","0.000917182418021301","1.32832054668196","DOC-ISD","RG","Spectrin alpha chain, non-erythrocytic 1 OS=Homo sapiens GN=SPTAN1 PE=1 SV=3","9924057.42252774","8987999.73684318","9069706.89084942","12231725.8106007","12519251.8324947","12417774.4772191","9924057.42252774","7511860.99885189","7095667.98903416","11278565.1517565","11807441.4956654","10932457.5969735","28","36","30","33","30","35"
"sp|P21333|FLNA_HUMAN;REV_sp|P14210|HGF_HUMAN","80","71","4417.13","0.0409817230761853","1.08528395298116","DOC-ISD","RG","Filamin-A OS=Homo sapiens GN=FLNA PE=1 SV=4","20503025.0822398","20782751.7145862","20971172.6800317","23146213.3933439","23074889.7667872","21345365.0686616","20503025.0822398","17369508.9702411","16406757.1828964","21342538.2334062","21762914.7960016","18792199.7563385","29","32","30","32","36","33"
"sp|P35579|MYH9_HUMAN","75","51","5146.67","0.000775983302892969","1.18951376078187","DOC-ISD","RG","Myosin-9 OS=Homo sapiens GN=MYH9 PE=1 SV=4","15927045.2388904","15891178.6930481","15757788.2406272","18886230.6634186","18248084.9263324","19458005.5726416","15927045.2388904","13281300.5056919","12328075.7517982","17414515.8505647","17210548.8457667","17130591.4143334","26","24","29","24","24","31"
"sp|P35580|MYH10_HUMAN;REV_sp|O14579|COPE_HUMAN","73","55","4376.04","0.894936265546054","1.0069972475501","DOC-ISD","RG","Myosin-10 OS=Homo sapiens GN=MYH10 PE=1 SV=3","10486492.8521451","11668280.0703258","11760841.3753031","10620732.8625327","11638295.8689054","11893901.5153909","10486492.8521451","9751947.10171919","9201071.95030105","9793109.28026705","10976574.2729661","10471246.2138956","15","25","27","24","22","27"
"sp|P46013|KI67_HUMAN","71","69","3011.79","0.182394286501224","1.06330757073366","DOC-ISD","RG","Antigen KI-67 OS=Homo sapiens GN=MKI67 PE=1 SV=2","10270124.5171139","10274859.6920976","10796874.5108373","11489911.507913","11463126.3075649","10372997.8424148","10270124.5171139","8587374.28232857","8446914.30165856","10594556.936324","10811364.3726443","9132261.12084246","18","22","23","28","25","31"
"sp|Q01082|SPTB2_HUMAN;REV_sp|Q9HCX3|ZN304_HUMAN","68","61","3631.46","0.00478445299383601","1.55662377459969","DOC-ISD","RG","Spectrin beta chain, non-erythrocytic 1 OS=Homo sapiens GN=SPTBN1 PE=1 SV=2","6542520.85903979","5194544.09093764","5236258.62869812","8884733.93001554","8425641.40187783","9110703.68464652","6542520.85903979","4341421.26235042","4096577.00972048","8192388.55067014","7946582.53122658","8020952.69919042","20","18","16","26","31","29"
"sp|Q6P2Q9|PRP8_HUMAN","62","60","2875.24","0.0141156730137189","1.20372626220441","DOC-ISD","RG","Pre-mRNA-processing-splicing factor 8 OS=Homo sapiens GN=PRPF8 PE=1 SV=2","9755879.73069281","8915898.93239356","8811838.49519561","11635976.7300874","10989866.9982422","10456908.0254661","9755879.73069281","7451601.62671252","6893925.13863726","10729239.9851602","10365013.2901777","9206134.62529732","28","18","22","26","28","37"
"sp|O75643|U520_HUMAN","62","57","3401.38","0.331235146620728","1.04015424638541","DOC-ISD","RG","U5 small nuclear ribonucleoprotein 200 kDa helicase OS=Homo sapiens GN=SNRNP200 PE=1 SV=2","9642761.87416845","9251346.22601958","9545212.67823518","10510650.9673566","9510036.12498151","9560593.17965553","9642761.87416845","7731956.93556178","7467679.04019148","9691605.54759706","8969321.54331525","8417029.93803324","19","21","26","26","18","32"
"sp|Q00610|CLH1_HUMAN;sp|P53675|CLH2_HUMAN","59","56","4105.94","0.180703653962417","1.04298796508079","DOC-ISD","RG","Clathrin heavy chain 1 OS=Homo sapiens GN=CLTC PE=1 SV=5","22179923.5018348","21724867.5016589","22092551.8082487","22893369.6048425","21983518.4283671","23957546.2467486","22179923.5018348","18156896.9369211","17284066.0176161","21109397.3679236","20733595.8398165","21091932.2903315","27","24","27","30","33","39"
"sp|P07814|SYEP_HUMAN","53","51","2927.41","0.0116886167730541","1.10378965076287","DOC-ISD","RG","Bifunctional glutamate/proline--tRNA ligase OS=Homo sapiens GN=EPRS PE=1 SV=5","13558076.141478","14188864.3301647","13944158.7815633","15850721.6789339","14894661.3471643","15272820.858518","13558076.141478","11858564.7196737","10909186.1833125","14615549.7536807","14047791.737675","13446005.701604","20","23","17","24","23","31"
"sp|Q92616|GCN1L_HUMAN","53","51","2662.35","0.919796035225716","1.00823547443913","DOC-ISD","RG","Translational activator GCN1 OS=Homo sapiens GN=GCN1L1 PE=1 SV=6","4540520.25759046","4273678.90629111","4208428.4063838","4804494.0452257","4025937.60448952","4299443.43703538","4540520.25759046","3571793.81817157","3292455.98415617","4430102.5014264","3797033.8296755","3785177.70251063","18","23","18","24","16","23"
"sp|Q9Y490|TLN1_HUMAN;sp|Q9Y4G6|TLN2_HUMAN","53","51","2905.11","0.00161056024451955","1.16957360817777","DOC-ISD","RG","Talin-1 OS=Homo sapiens GN=TLN1 PE=1 SV=3","5408251.91688146","5365222.56656305","5259748.3718523","6020215.68114894","6333138.43447194","6398680.18996684","5408251.91688146","4484068.46105232","4114954.16573838","5551088.68845138","5973053.54581052","5633320.20417499","21","20","20","25","24","21"
"sp|O43707|ACTN4_HUMAN;sp|Q9H254|SPTN4_HUMAN","48","30","3384.38","0.000845862287739085","1.13451857270988","DOC-ISD","RG","Alpha-actinin-4 OS=Homo sapiens GN=ACTN4 PE=1 SV=2","23058263.5986685","22514861.1255116","22388258.2818353","26223428.3879967","25597521.9002975","25282500.95908","23058263.5986685","18817146.4324831","17515411.4165392","24179960.3879378","24142116.9823652","22258406.3020029","16","19","21","14","17","19"
"sp|Q08211|DHX9_HUMAN;REV_sp|Q8NBJ5|GT251_HUMAN","47","44","2972.28","0.0183650388030292","1.23317274430986","RG","DOC-ISD","ATP-dependent RNA helicase A OS=Homo sapiens GN=DHX9 PE=1 SV=4","28946887.9592487","28096818.8729621","29972859.5624133","25051403.4552792","21177951.073785","24333806.063106","28946887.9592487","23482354.7021753","23449209.8472781","23099265.8262855","19973830.8364991","21423186.8557384","19","28","26","22","25","32"
"sp|P13639|EF2_HUMAN","47","45","3224.09","8.39692378040713E-06","1.46203945172256","DOC-ISD","RG","Elongation factor 2 OS=Homo sapiens GN=EEF2 PE=1 SV=4","55185662.2777955","54706780.534636","54196577.0228358","78438867.465198","79723146.9960672","81742606.132381","55185662.2777955","45722045.2940532","42400589.2719808","72326496.7539997","75190307.4242112","71965196.1023928","31","29","23","24","23","44"
"sp|O75369|FLNB_HUMAN","46","41","2096.2","0.530464660147042","1.0970517476886","DOC-ISD","RG","Filamin-B OS=Homo sapiens GN=FLNB PE=1 SV=2","4140378.54807911","3966443.83808922","3985768.75582006","4336783.440008","3585956.01039277","5343458.79600121","4140378.54807911","3315017.31685004","3118258.62872138","3998838.37608576","3382068.38278011","4704316.12489234","15","12","12","17","14","14"
"sp|Q14152|EIF3A_HUMAN","45","39","2111.46","0.043896971006238","1.14693155464519","DOC-ISD","RG","Eukaryotic translation initiation factor 3 subunit A OS=Homo sapiens GN=EIF3A PE=1 SV=1","8485966.89231347","9695081.9588094","9366097.02560506","10274776.5912597","11080535.0999843","10239379.1551895","8485966.89231347","8102815.996814","7327548.24897652","9474111.74830558","10450526.2522274","9014624.8539789","20","16","17","15","18","19"
