Name	Fraction	Experiment
A14-01043	1	Hum_05_Bart_001_1
A14-01044	1	Hum_05_Bart_001_2
A14-01045	1	Hum_05_Bart_001_3
A14-01046	1	Hum_05_Bart_001_4
A14-01047	1	Hum_05_Bart_001_5
A14-01049	1	Hum_05_Bart_0015_1
A14-01050	1	Hum_05_Bart_0015_2
A14-01051	1	Hum_05_Bart_0015_3
A14-01052	1	Hum_05_Bart_0015_4
A14-01053	1	Hum_05_Bart_0015_5
A14-01055	1	Hum_05_Bart_002_1
A14-01056	1	Hum_05_Bart_002_2
A14-01057	1	Hum_05_Bart_002_3
A14-01058	1	Hum_05_Bart_002_4
A14-01059	1	Hum_05_Bart_002_5
A14-01061	1	Hum_05_Bart_01_1
A14-01062	1	Hum_05_Bart_01_2
A14-01063	1	Hum_05_Bart_01_3
A14-01064	1	Hum_05_Bart_01_4
A14-01065	1	Hum_05_Bart_01_5
