LFQ intensity Gua_1	LFQ intensity Gua_2	LFQ intensity Gua_3	LFQ intensity RG/SDC_1	LFQ intensity RG/SDC_2	LFQ intensity RG/SDC_3	LFQ intensity RG_1	LFQ intensity RG_2	LFQ intensity RG_3	LFQ intensity SDC_1	LFQ intensity SDC_2	LFQ intensity SDC_3	LFQ intensity Urea_1	LFQ intensity Urea_2	LFQ intensity Urea_3	Only identified by site	Reverse	Protein IDs	Majority protein IDs	Protein names	Gene names
8.02284	8.01549	8.05687	7.73448	7.64944	7.61382	7.89696	7.80491	7.9394	7.87782	8.03455	8.04497	8.21053	8.08987	8.02239			NP_252906.1;AAG07604.1;NP_252905.1;AAO42617.1;	NP_252906.1;AAG07604.1;NP_252905.1;AAO42617.1;		
7.3441	7.35036	7.37333	7.83582	7.76424	7.84255	7.66243	7.56135	7.5961	7.52727	7.57699	7.72099	7.99451	7.88476	7.84443			NP_249998.1;AAG04696.1;1TE5	NP_249998.1;AAG04696.1;1TE5		
6.37801	6.49449	6.43147	6.1249	6.51305	6.6202	6.35363	6.48691	6.72246	6.6725	6.78631	6.6061	6.31055	6.56543	6.72036			NP_250950.1;AAG05648.1;1YX1	NP_250950.1;AAG05648.1;1YX1		
7.57215	7.55241	7.5334	7.59889	7.61694	7.61878	7.57149	7.63209	7.53972	7.63297	7.66377	7.82792	7.8349	7.53394	7.53495			NP_252476.1;AAG07174.1;2HSI	NP_252476.1;AAG07174.1;2HSI		
6.87854	7.07976	7.18738	7.9446	7.75528	7.51654	8.11015	8.09583	8.09311	8.03834	7.47831	7.20772	6.88169	7.66202	7.75809			NP_249117.1;AAG03815.1;2V50	NP_249117.1;AAG03815.1;2V50		
6.65089	6.18794	6.28773	7.88679	7.94332	8.04821	6.63198	6.04507	6.60752	8.31252	8.19438	8.42833	6.15305	6.49149	6.19495			2X27	2X27		
8.05169	8.03491	8.06759	7.81908	7.7391	7.6958	7.93576	7.82798	7.89994	7.96289	7.91336	8.04281	8.21487	8.01469	8.04599			NP_252023.1;AAG06721.1;2X3E	NP_252023.1;AAG06721.1;2X3E		
7.01258	6.97754	6.9463	7.2052	7.14311	7.09934	7.42493	7.34003	7.35759	7.22414	7.23782	7.19956	7.34036	7.2145	7.21155			NP_252879.1;AAG07577.1;2X3N	NP_252879.1;AAG07577.1;2X3N		
7.19997	7.19134	7.15728	6.81325	7.02641	7.19499	6.95016	6.99275	7.13526	6.90972	7.28423	7.15476	7.62975	7.51123	7.3583			2XU8;NP_250336.1;AAG05034.1	2XU8;NP_250336.1;AAG05034.1		
6.45976	6.65068	6.61541	6.42785	6.96598	6.42962	6.99243	6.82795	6.83967	6.59109	6.30205	6.6051	6.63079	6.20688	6.47087			3C2W;NP_252806.1;AAG07504.1;3IBR;3G6O	3C2W;NP_252806.1;AAG07504.1;3IBR;3G6O		
