,,,,,,,,,Normalized abundance,,,,,,Raw abundance,,,,,,Spectral counts,,,,,
,,,,,,,,,Condition 1,,,Condition 2,,,Condition 1,,,Condition 2,,,Condition 1,,,Condition 2,,
Accession,Peptide count,Peptides used for quantitation,Confidence score,Anova (p)*,Max fold change,Highest mean condition,Lowest mean condition,Description,A11-05217,A11-05218,A11-05219,A11-05221,A11-05222,A11-05223,A11-05217,A11-05218,A11-05219,A11-05221,A11-05222,A11-05223,A11-05217,A11-05218,A11-05219,A11-05221,A11-05222,A11-05223
Q8ZKC7|Q8ZKC7_SALTY,5,1,77.12,0.129670886,Infinity,Condition 2,Condition 1,Putative copG family helix-turn-helix protein OS=Salmonella typhimurium GN=STM4317,0,0,0,469.9927864,10703.25046,0,0,0,0,469.9927864,7650.140327,0,0,0,0,0,1,0
P74852|SSAJ_SALTY,4,1,48.67,0.373900966,Infinity,Condition 2,Condition 1,Secretion system apparatus lipoprotein ssaJ OS=Salmonella typhimurium GN=ssaJ,0,0,0,0,22907.10068,0,0,0,0,0,16372.83322,0,0,0,0,0,1,0
Q9FD98|Q9FD98_SALTY,3,1,28.44,0.373900966,Infinity,Condition 2,Condition 1,Resistance against oxidative stress protein A (Putative regulatory protein) OS=Salmonella typhimurium GN=rox-A,0,0,0,0,121319.9642,0,0,0,0,0,86713.35441,0,0,0,0,0,1,0
Q9XC73|Q9XC73_SALTY,2,1,57.51,0.373900966,Infinity,Condition 2,Condition 1,Putative uncharacterized protein (Gifsy-2 prophage protein) OS=Salmonella typhimurium GN=STM1055,0,0,0,0,42406.24403,0,0,0,0,0,30309.83146,0,0,0,0,0,1,0
Q8ZLU2|DIAA_SALTY,1,1,28.16,0.373900966,Infinity,Condition 2,Condition 1,DnaA initiator-associating protein diaA OS=Salmonella typhimurium GN=diaA,0,0,0,0,8457.367482,0,0,0,0,0,6044.897133,0,0,0,0,0,1,0
Q8ZLZ4|REVERSE_Q8ZLZ4_SALTY-R,4,1,34.24,0.756963041,10345.87555,Condition 2,Condition 1,Outer membrane channel OS=Salmonella typhimurium GN=tolC,3.753970764,27.40701707,13.90182083,0,466214.0286,0.181694498,5.079714298,34.47965231,10.94862406,0,333226.131,0.164803878,0,0,0,0,1,0
P67246|YFCN_SALTY,4,1,35.68,0.558678886,851.2001767,Condition 2,Condition 1,UPF0115 protein yfcN OS=Salmonella typhimurium GN=yfcN,0,13.68406337,0,0,11647.87716,0,0,17.21536299,0,0,8325.311558,0,0,0,0,0,1,0
Q8ZNC4|REVERSE_Q8ZNC4_SALTY-R,6,1,55.08,0.676708941,218.4531323,Condition 2,Condition 1,Putative diaminopimelate decarboxylase OS=Salmonella typhimurium GN=STM2360,464.0853058,613.6589799,0,473.6829529,234962.9321,0,627.9805869,772.0193776,0,473.6829529,167939.5814,0,0,0,0,0,1,0
P12035|REVERSE_K2C3_CON-HUMAN-R,13,2,69.02,0.34596563,71.73764129,Condition 2,Condition 1,"Keratin, type II cytoskeletal 3 OS=Homo sapiens GN=KRT3 PE=1 SV=3",1364.104042,923.8024402,298.7602041,1188.728841,183730.9234,641.7147129,1845.847835,1162.198238,235.2938654,1188.728841,131321.5412,582.0598544,0,0,0,0,2,0
Q7CP89|Q7CP89_SALTY,6,1,47.28,0.733496222,61.37843027,Condition 2,Condition 1,Putative hemolysin-related protein OS=Salmonella typhimurium GN=ytfL,315.8405509,0,239.2145612,149.4883896,33918.92311,0,427.3820612,0,188.3976447,149.4883896,24243.52513,0,0,0,0,0,1,0
Q8ZNL3|Q8ZNL3_SALTY,4,1,40.12,0.429825805,52.52046172,Condition 2,Condition 1,Putative D-serine dehydratase OS=Salmonella typhimurium GN=STM2196,1211.816645,1080.601855,312.6746983,534.9231412,135555.9423,729.8321401,1639.778976,1359.461197,246.2524707,534.9231412,96888.50916,661.9857402,0,0,0,0,1,0
P0A283|PTGA_SALTY,14,7,723.28,0.000327205,46.98865943,Condition 1,Condition 2,Glucose-specific phosphotransferase enzyme IIA component OS=Salmonella typhimurium GN=crr,25318242.44,22874264.55,30453849.46,393061.628,957632.3813,323036.576,34259573.73,28777180.91,23984466,393061.628,684467.0341,293006.5629,10,9,9,0,0,0
Q8ZMQ6|Q8ZMQ6_SALTY,3,2,181.61,0.279789708,17.63751029,Condition 2,Condition 1,Putative transcriptional regulator OS=Salmonella typhimurium GN=STM2748,4792.152323,3567.028554,2301.721996,3490.256177,177996.7443,6544.783612,6484.537629,4487.533393,1812.761734,3490.256177,127223.041,5936.369729,1,0,0,1,1,1
Q8ZKR8|Q8ZKR8_SALTY,10,1,119.71,0.33917815,16.98376638,Condition 2,Condition 1,Putative cytoplasmic protein OS=Salmonella typhimurium GN=yiiM,1873.264925,907.0652678,675.8738306,2480.128941,55553.84393,665.3888217,2534.822785,1141.141883,532.29635,2480.128941,39707.06873,603.533179,0,0,0,0,1,0
Q8ZMY0|Q8ZMY0_SALTY,2,1,55.76,0.300331653,13.6091336,Condition 2,Condition 1,"Anti sigma E (Sigma 24) factor, negative regulator OS=Salmonella typhimurium GN=rseA",1338.046351,1117.031049,1001.134614,1235.585966,44146.39949,1654.065597,1810.587671,1405.291283,788.4612135,1235.585966,31553.60628,1500.30093,0,0,0,0,1,0
P37925|FIMH_SALTY,4,1,34.93,0.240670116,12.13788773,Condition 2,Condition 1,Protein fimH OS=Salmonella typhimurium GN=fimH,861.4597054,793.5945183,0,11849.98362,291.8704875,7947.008242,1165.6908,998.3889525,0,11849.98362,208.6142144,7208.241244,0,0,0,1,0,0
P17127|PTFAH_SALTY,2,1,92.14,0.309908515,11.34048127,Condition 2,Condition 1,Multiphosphoryl transfer protein OS=Salmonella typhimurium GN=fruB,562.9603073,137.4801802,122.8734915,310.103885,8761.622164,265.0507119,761.7740527,172.9582173,96.77118431,310.103885,6262.362941,240.4111604,0,0,0,0,1,0
Q7CQJ3|Q7CQJ3_SALTY,2,2,32.63,0.25220658,10.6309887,Condition 2,Condition 1,Putative hydrogenase OS=Salmonella typhimurium GN=STM1534,8732.014849,1043.862175,2534.300661,3346.038594,119258.0405,8265.280744,11815.79279,1313.240501,1995.933162,3346.038594,85239.59595,7496.926609,1,0,1,0,1,1
Q8ZRV8|REVERSE_RAPA_SALTY-R,14,1,112.1,0.383729879,8.97123511,Condition 2,Condition 1,RNA polymerase-associated protein rapA OS=Salmonella typhimurium GN=rapA,40397.44121,35712.71227,38410.14759,36990.76374,952936.9346,37460.84742,54664.10706,44928.70928,30250.58885,36990.76374,681110.967,33978.42523,0,0,0,0,1,0
