,,,,,,,,,Normalized abundance,,,,,,,,,,Raw abundance,,,,,,,,,,Spectral counts,,,,,,,,,
,,,,,,,,,Condition 1,,Condition 2,,Condition 3,,Condition 4,,Condition 5,,Condition 1,,Condition 2,,Condition 3,,Condition 4,,Condition 5,,Condition 1,,Condition 2,,Condition 3,,Condition 4,,Condition 5,
Accession,Peptide count,Peptides used for quantitation,Confidence score,Anova (p)*,Max fold change,Highest mean condition,Lowest mean condition,Description,Neil left,Neil left,Neil right,Neil right,Neil mouse2,Neil mix,Neil mouse1,Neil mouse3,Neil liver,Neil liver,Neil left,Neil left,Neil right,Neil right,Neil mouse2,Neil mix,Neil mouse1,Neil mouse3,Neil liver,Neil liver,Neil left,Neil left,Neil right,Neil right,Neil mouse2,Neil mix,Neil mouse1,Neil mouse3,Neil liver,Neil liver
sp|Q8VDD5|MYH9_MOUSE,240,182,21297.23,0.000103464,3.126730476,Condition 5,Condition 1,Myosin-9 OS=Mus musculus GN=Myh9 PE=1 SV=4,218812983.1,209358918.7,225847890.2,209051340.8,444019397,472558898,185341210.4,281108753.5,664787289.3,673990844.8,109627122.1,40677932.03,64900068.78,22151137.87,154080758.3,216159969.1,312562012.7,510099927.3,473423346.4,458025256.5,237,214,227,203,315,357,289,319,470,457
sp|P08032|SPTA1_MOUSE,233,226,23124.89,5.40E-07,8.318358298,Condition 3,Condition 5,"Spectrin alpha chain, erythrocyte OS=Mus musculus GN=Spta1 PE=2 SV=3",652492879.7,607725169.3,634804491.8,597860331.8,1185812953,1124738224,276977374.4,367780375.5,139316260.5,138449026.1,326904352.5,118079531.9,182418596.7,63349446.05,411493192.1,514482704.3,467098522.8,667374247.5,99213043.55,94086071.32,419,394,379,355,531,569,396,447,271,270
sp|P15508|SPTB1_MOUSE,204,186,18437.88,1.36E-06,8.629657502,Condition 3,Condition 5,"Spectrin beta chain, erythrocyte OS=Mus musculus GN=Sptb PE=1 SV=4",521480329.9,496443743.1,533702486.9,462599813.3,1025966841,909203257.5,223961558.6,299079506,112978810.4,111267644.2,261265976.8,96457819.73,153365736.9,49017204.11,356024421.5,415891752,377691908.7,542709653.7,80457023.38,75614367.27,352,336,336,281,456,450,300,361,208,204
sp|P16546|SPTA2_MOUSE,120,111,8016.51,1.69E-06,3.530423643,Condition 3,Condition 7,"Spectrin alpha chain, brain OS=Mus musculus GN=Sptan1 PE=1 SV=4",20917180.86,18066204.52,19928437.89,23581076.3,33925716.67,34467569.33,23756490.3,20987784.89,9876397.469,9845679.364,10479681.36,3510219.884,5726672.889,2498657.364,11772684.23,15766307.13,40063277.92,38084433.21,7033403.34,6690847.288,74,57,64,60,82,122,89,110,40,45
sp|Q02357|ANK1_MOUSE,113,111,9035.49,9.60E-06,5.630398365,Condition 3,Condition 5,Ankyrin-1 OS=Mus musculus GN=Ank1 PE=1 SV=2,142694391.3,142228936,135021696,118831891.7,303290313.4,269208318.6,72715378.73,97271452.8,51061517.1,50618434.3,71491075.31,27634738.6,38800085.09,12591460.1,105245855.9,123142452.9,122628233,176508772.4,36363081.38,34398866.89,174,169,154,141,220,231,152,171,115,111
sp|Q62261|SPTB2_MOUSE,104,86,6133.54,1.20E-05,5.427330457,Condition 3,Condition 5,"Spectrin beta chain, brain 1 OS=Mus musculus GN=Sptbn1 PE=1 SV=2",10412534.61,8419088.465,10850723.22,10545640.51,22980768.72,25459651.38,11904322.79,15808038.54,4635770.584,4289505.015,5216766.331,1635808.546,3118083.958,1117418.984,7974638.711,11645865.69,20075616.67,28685265.79,3301329.701,2915027.185,48,37,46,36,67,90,65,76,17,26
sp|P11276|FINC_MOUSE,93,89,6461.97,0.000681584,9.028481689,Condition 5,Condition 1,Fibronectin OS=Mus musculus GN=Fn1 PE=1 SV=3,13525512.7,13166518.63,13822261.7,12964277.73,76264718.12,30035923.71,42344159.29,58361668.98,121840896,119147620.1,6776394.21,2558222.755,3971990.769,1373698.452,26464892.48,13739164.3,71409783.2,105903081,86768092.08,80969377.64,22,17,22,19,97,69,92,120,150,153
sp|Q68FD5|CLH_MOUSE,76,75,5108.46,1.28E-05,3.869836977,Condition 5,Condition 2,Clathrin heavy chain 1 OS=Mus musculus GN=Cltc PE=1 SV=3,12665272.05,12989608.42,12123044.38,10790111.14,18215391.4,23340403.28,13674046.84,16272633.08,44020683.31,44649493.18,6345406.496,2523849.528,3483700.529,1143323.159,6320988.092,10676469.9,23060104.07,29528319.02,31349003.73,30342542.07,42,27,37,39,71,86,56,65,93,104
sp|Q9JMH9|MY18A_MOUSE,70,63,3640.67,2.51E-06,8.784318334,Condition 5,Condition 2,Myosin-XVIIIa OS=Mus musculus GN=Myo18a PE=1 SV=2,1864036.842,2459894.497,2025401.269,2049240.399,5547501.461,4767342.721,2262939.756,2979885.696,17940562.31,17852387.2,933897.9412,477951.5569,582023.0668,217138.0792,1925058.314,2180698.871,3816253.294,5407300.406,12776238.63,12131981.15,3,2,7,4,24,21,3,13,68,72
tr|E1WEJ8|E1WEJ8_SALTS,70,64,4059.87,0.000255443,2.675275863,Condition 2,Condition 3,DNA-directed RNA polymerase OS=Salmonella typhimurium (strain SL1344) GN=rpoC,17222208.64,15788449.44,18442296.13,18920399.3,8224841.68,5741080.845,15498888.97,19132263.01,14766035.8,14576565.88,8628469.583,3067657.576,5299612.436,2004810.74,2854131.716,2626110.445,26137543.4,34717403.31,10515523.08,9905824.952,80,67,81,72,35,30,72,87,85,79
sp|Q8BTM8|FLNA_MOUSE,69,63,3367.92,0.000929268,3.188074973,Condition 3,Condition 5,Filamin-A OS=Mus musculus GN=Flna PE=1 SV=4,5306246.509,6126212.767,5491168.716,5695924.828,12363650.35,17714174.19,7072470.418,10418388.02,5036647.654,4397830.771,2658473.576,1190308.338,1577952.431,603541.7695,4290354.51,8102895.453,11927113.15,18905206.28,3586811.339,2988642.327,13,16,9,13,35,52,40,54,15,13
sp|Q9D0E1|HNRPM_MOUSE,69,64,3454.53,0.004366636,2.523364198,Condition 7,Condition 5,Heterogeneous nuclear ribonucleoprotein M OS=Mus musculus GN=Hnrnpm PE=1 SV=3,17464170.55,16801528.02,16169203.84,16241828.5,16390583.62,27346684.89,12732819.54,15852990.18,8684060.323,8693745.988,8749694.507,3264496.297,4646412.419,1720988.638,5687755.02,12509040.85,21472805.18,28766835.04,6184289.268,5908025.705,45,47,44,43,23,45,50,55,29,32
sp|P04264|K2C1_CON-HUMAN,65,52,5689.59,0.539022886,31.08830936,Condition 4,Condition 5,"Keratin, type II cytoskeletal 1 OS=Homo sapiens GN=KRT1 PE=1 SV=6",74866164.49,64825977.85,112390190.6,110287164.4,82425763.98,67903854.82,808738235.1,14739569.47,12634263.38,13854079.71,37508570.27,12595530.86,32296653.72,11686058.43,28602859.03,31060879.86,1363867485,26746421.88,8997397.134,9414843.633,64,66,79,74,77,63,244,40,32,38
tr|E1WEJ7|E1WEJ7_SALTS,60,52,3868.13,0.001527297,2.228933791,Condition 4,Condition 3,DNA-directed RNA polymerase subunit beta OS=Salmonella typhimurium (strain SL1344) GN=rpoB,12497683.43,12426181.48,15088612.22,15405620.08,8363591.859,5839521.786,14101173.87,17556626.06,12801930.29,12607196.37,6261443.205,2414377.037,4335891.603,1632383.763,2902279.911,2671139.733,23780417.09,31858252.61,9116799.877,8567496.716,54,45,50,45,31,20,57,68,48,52
sp|P01027|CO3_MOUSE,60,55,3283.89,4.62E-05,6.089173439,Condition 5,Condition 7,Complement C3 OS=Mus musculus GN=C3 PE=1 SV=2,5411192.691,4146452.68,4451977.339,5843981.534,6216878.109,4410125.403,4702249.55,5286740.209,24093986.14,23732153.23,2711052.485,805645.7366,1279328.469,619229.8989,2157341.098,2017298.954,7929939.49,9593318.468,17158353.86,16127705.08,21,20,17,16,14,29,20,21,87,78
sp|P35908|K22E_CON-HUMAN,60,45,4721.27,0.055394931,15.25266315,Condition 3,Condition 5,"Keratin, type II cytoskeletal 2 epidermal OS=Homo sapiens GN=KRT2 PE=1 SV=2",30383754.15,29390552.42,65438494.57,67751933.63,140590414,23686506.32,49944479.52,7974561.696,5187049.095,5583327.11,15222513.2,5710513.318,18804527.22,7179013.618,48786782.17,10834785.88,84227069.66,14470639.18,3693918.612,3794272.358,41,39,51,54,69,39,61,20,10,8
sp|O08638|MYH11_MOUSE,60,22,3241.16,1.53E-07,3.821597344,Condition 3,Condition 5,Myosin-11 OS=Mus musculus GN=Myh11 PE=1 SV=1,3232121.579,3086067.856,3182793.6,2806461.501,6361860.156,6097603.711,1643580.234,1853110.012,1674443.544,1585832.918,1619319.758,599615.5276,914613.4747,297373.4366,2207651.837,2789192.702,2771756.722,3362653.317,1192442.573,1077687.531,15,10,11,10,6,19,1,3,10,7
sp|P35527|K1C9_CON-HUMAN,60,57,5548.05,0.562008747,53.89703473,Condition 4,Condition 5,"Keratin, type I cytoskeletal 9 OS=Homo sapiens GN=KRT9 PE=1 SV=3",65693484.47,66761133.32,41932044,38073880.2,44348169.12,51928938.18,910516644.7,11382166.94,8086061.659,9018753.406,32912981.39,12971526.89,12049669.97,4034318.872,15389416.71,23753563.25,1535508020,20654079.45,5758428.947,6128891.622,68,66,59,52,48,66,384,28,16,16
sp|Q8CAQ8|IMMT_MOUSE,58,52,3611.64,4.15E-07,9.145002266,Condition 5,Condition 1,Mitochondrial inner membrane protein OS=Mus musculus GN=Immt PE=1 SV=1,4837418.161,4733379.082,6542109.04,5116661.746,11348501.01,13032514.48,8362677.533,9282134.691,43501701.11,44023261.36,2423586.679,919684.1183,1879952.593,542162.8932,3938083.908,5961390.079,14102936.5,16843361.06,30979414.39,29916972.51,24,17,19,9,31,28,23,32,77,83
sp|P48193|41_MOUSE,58,52,4225.9,5.20E-06,6.605910404,Condition 3,Condition 5,Protein 4.1 OS=Mus musculus GN=Epb41 PE=1 SV=2,86498614.03,85409252.94,84725915.17,72026074.81,152617289,151888791.1,35654651.77,52428724.84,23216428.29,22879576.86,43336524.11,16594811.47,24346996.19,7631902.799,52960271.07,69477638.69,60128504.04,95137160.97,16533407.53,15548318.11,86,92,83,83,140,124,60,86,57,49
sp|Q5SUA5|MYO1G_MOUSE,55,49,3772.74,4.21E-06,7.879439659,Condition 3,Condition 5,Myosin-Ig OS=Mus musculus GN=Myo1g PE=2 SV=1,11391759.58,11453892.5,13904350.46,13740320.96,22903606.26,28517918.87,12707843.92,16772946.95,3432899.872,3093138.444,5707366.175,2225463.637,3995579.947,1455928.208,7947862.288,13044791.85,21430685.94,30436188.52,2444714.229,2102010.05,59,47,54,44,73,86,68,68,6,9
sp|Q8C196|CPSM_MOUSE,55,51,2968.9,3.63E-06,33.20659991,Condition 5,Condition 4,"Carbamoyl-phosphate synthase [ammonia], mitochondrial OS=Mus musculus GN=Cps1 PE=1 SV=2",1170699.84,1247788.114,1688210.633,863333.7908,1254815.264,1376665.908,679163.2887,711077.7473,23112369.56,23052808.3,586530.3441,242442.2155,485127.3401,91479.08715,435437.9308,629720.573,1145350.481,1290321.638,16459302.87,15666041.33,0,0,0,0,0,0,0,0,77,72
tr|E1WJD4|E1WJD4_SALTS,54,46,3526.15,1.31E-05,4.004905223,Condition 2,Condition 7,ClpB protein (Heat shock protein f84.1) OS=Salmonella typhimurium (strain SL1344) GN=clpB,13346945.36,12342937.55,18196893.83,15947177.75,6458540.04,4760822.355,11578137.23,13950820.47,10978377.43,10655446.06,6686930.487,2398202.942,5229093.176,1689767.363,2241201.069,2177716.296,19525532.77,25315158,7818170.21,7241142.005,51,41,51,43,29,22,49,55,46,43
sp|Q9WTI7|MYO1C_MOUSE,53,46,3088.53,0.000388993,2.529668131,Condition 3,Condition 5,Myosin-Ic OS=Mus musculus GN=Myo1c PE=1 SV=2,8613338.294,8163075.514,8946169.827,8285466.208,18132071.65,20904146.98,9392732.988,13239331.89,7563189.441,7868170.17,4315354.03,1586065.848,2570787.961,877930.2901,6292075.007,9562066.833,15840036.44,24024090.87,5386069.368,5346987.557,34,32,39,31,59,55,53,62,30,32
tr|E1W824|E1W824_SALTS,53,50,3603.84,0.000210252,2.963098656,Condition 2,Condition 3,Pyruvate dehydrogenase E1 component OS=Salmonella typhimurium (strain SL1344) GN=aceE,16066479.94,14632740.32,23441845.47,20151838.11,8715903.202,5996291.24,17460357.77,21559923.46,15376657.91,15079827.9,8049439.901,2843106.086,6736292.211,2135294.338,3024536.73,2742849.906,29445391.85,39122635.83,10950373.1,10247827.69,69,56,61,55,38,34,65,80,53,63
sp|Q61879|MYH10_MOUSE,52,15,3494.89,2.17E-06,7.574604258,Condition 5,Condition 2,Myosin-10 OS=Mus musculus GN=Myh10 PE=1 SV=2,140105.5393,150066.6216,122418.2882,155557.79,415237.9918,340589.6044,154814.2656,169753.6169,1027174.704,1078384.081,70194.03896,29157.58197,35178.34644,16482.94643,144093.22,155793.9945,261080.9454,308034.9031,731494.8607,732839.5472,0,0,0,0,0,1,0,0,15,17
tr|E1W7N5|E1W7N5_SALTS,52,49,4314.49,1.16E-06,5.242663086,Condition 2,Condition 7,Chaperone protein dnaK OS=Salmonella typhimurium (strain SL1344) GN=dnaK,50130396.92,50886520.24,64669939.99,65363502.71,22810142.02,18340989.47,44623383.32,54992577.05,38808763.09,38034824.97,25115745.26,9887127.926,18583673.95,6925934.818,7915428.931,8389616.054,75253498.52,99789527.02,27637373.32,25847399.26,63,65,70,67,43,50,84,81,62,68
sp|P60710|ACTB_MOUSE,52,26,5079.51,0.005134456,1.92345169,Condition 3,Condition 4,"Actin, cytoplasmic 1 OS=Mus musculus GN=Actb PE=1 SV=1",257907434.5,249397564.4,276960186.2,260934975.6,387396075.6,544169519.1,207678504.2,276641221.4,272604512.3,284822916.1,129213766.9,48457344.14,79587793,27648742.16,134431697.2,248916414.3,350231937.8,501993143.8,194133285.3,193557657.7,104,87,91,74,129,153,146,134,139,145
tr|E1WF20|E1WF20_SALTS,51,47,5265.72,2.80E-06,4.76196822,Condition 2,Condition 7,60 kDa chaperonin OS=Salmonella typhimurium (strain SL1344) GN=groEL,159942886.9,150965815,200215744.6,176198439.8,78449330.99,58649243.02,137894778.3,158305195.7,117329831.1,116135873.4,80132714.88,29332293.08,57534367.86,18670035.4,27222982.81,26827594.64,232547685.1,287260598.6,83555570.57,78922679.13,113,105,127,111,86,68,219,238,160,165
sp|P20152|VIME_MOUSE,50,43,2977.91,0.000304334,3.991787719,Condition 3,Condition 1,Vimentin OS=Mus musculus GN=Vim PE=1 SV=3,9358843.442,8075290.136,9741318.716,8513825.475,44112106.33,25481253.97,27815265.1,38888097.77,20153909.77,20085302.59,4688858.301,1569009.361,2799283.421,902127.3011,15307499.72,11655747.24,46908052.58,70566339.89,14352457.64,13649407.77,23,17,18,22,47,42,47,54,45,45
sp|P13647|K2C5_CON-HUMAN,50,8,2768.31,0.655196069,14.14594108,Condition 4,Condition 5,"Keratin, type II cytoskeletal 5 OS=Homo sapiens GN=KRT5 PE=1 SV=3",540727.221,473817.8789,661441.1697,948972.5835,787858.2711,530335.1441,5346555.267,202612.9418,248887.3685,143392.5214,270908.8291,92061.66899,190072.9618,100553.3973,273397.5153,242588.2336,9016505.674,367661.432,177243.2969,97445.53191,0,0,4,3,1,4,4,0,0,0
sp|P26039|TLN1_MOUSE,50,41,2842.19,0.235897625,2.472137297,Condition 7,Condition 1,Talin-1 OS=Mus musculus GN=Tln1 PE=1 SV=1,1920586.907,1996784.512,2331025.894,1811596.609,1780422.619,5983085.722,3112188.768,4378286.066,3287328.844,3417524.364,962229.9934,387970.4058,669847.9263,191957.2775,617830.8182,2736809.38,5248438.72,7944837.634,2341046.899,2322453.614,14,15,18,13,12,62,29,46,33,41
sp|P57780|ACTN4_MOUSE,48,32,2653.47,0.001675349,4.267982454,Condition 3,Condition 5,Alpha-actinin-4 OS=Mus musculus GN=Actn4 PE=1 SV=1,1981081.008,1651413.235,2583029.027,2447984.472,4133575.279,7634532.083,3897741.64,5530710.297,1396942.706,1360357.14,992538.0403,320865.6013,742264.014,259389.1114,1434406.735,3492221.236,6573206.084,10036026.57,994822.4062,924460.5215,9,9,14,12,19,33,28,36,5,7
sp|P13645|K1C10_CON-HUMAN,48,39,4276.24,0.085164471,18.94773048,Condition 2,Condition 5,"Keratin, type I cytoskeletal 10 OS=Homo sapiens GN=KRT10 PE=1 SV=6",40188475.56,40003247.59,155607613.8,143005782.6,128953385.1,43204436.44,204124017.5,15507558.71,7805323.446,7954526.882,20134760.07,7772534.346,44715692.65,15152932.26,44748575.17,19762763.3,344237601.5,28140015.11,5558503.307,5405673.153,51,45,75,72,84,56,147,41,20,19
sp|P27046|MA2A1_MOUSE,45,43,2501.37,1.88E-05,19.13779809,Condition 5,Condition 1,Alpha-mannosidase 2 OS=Mus musculus GN=Man2a1 PE=1 SV=1,704463.5012,957275.1921,1467248.513,859097.1397,2996023.89,2759622.944,2141488.014,2939531.984,15774383.74,16027635.84,352942.0656,185996.2568,421631.2552,91030.17043,1039660.961,1262318.862,3611435.376,5334074.563,11233610.6,10891931.36,0,0,0,0,14,10,6,14,60,63
sp|P78386|KRT85_CON-HUMAN,45,3,2551.73,0.272091107,773.3983403,Condition 3,Condition 6,"Keratin, type II cuticular Hb5 OS=Homo sapiens GN=KRT85 PE=1 SV=1",3641.210278,909.3464541,1155.265009,0,566777.3218,3108.507621,6105.049284,520.5551487,7202.505494,9190.564577,1824.276594,176.6838188,331.9790966,0,196679.4247,1421.907225,10295.64061,944.5993417,5129.210966,6245.649671,0,0,0,0,6,0,0,0,0,0
sp|Q8K0E8|FIBB_MOUSE,45,45,3278.79,0.000114643,4.35618183,Condition 5,Condition 2,Fibrinogen beta chain OS=Mus musculus GN=Fgb PE=2 SV=1,25204263.45,23368599.08,21012346.91,20042922.51,49971859.34,33719213.44,47634287.65,60353514.71,89996686.91,88847531.8,12627545.34,4540462.336,6038146.998,2123753.61,17340913.56,15423990.88,80331129.75,109517484.2,64090474.31,60378288.3,35,31,33,39,57,49,81,90,96,89
sp|P15924|DESP_CON-HUMAN,44,37,2097.81,0.682573963,9.928441872,Condition 4,Condition 5,Desmoplakin OS=Homo sapiens GN=DSP PE=1 SV=3,685343.0676,770508.4695,472083.2875,763656.9531,1237661.252,443846.5527,8620477.889,427254.3426,471508.4883,439785.7862,343362.5695,149707.9338,135658.7295,80917.30188,429485.2556,203026.2418,14537694.63,775295.7045,335781.2792,298866.0737,3,7,0,1,1,0,53,0,0,0
tr|E1WEJ0|E1WEJ0_SALTS,44,40,3643.96,0.000162341,2.848160261,Condition 4,Condition 3,Elongation factor Tu OS=Salmonella typhimurium (strain SL1344) GN=tuf2,158608475.8,140137562.7,193033228.5,172704531.9,75934343.46,53672588.76,167524059.5,201617254.4,141606368.1,142357161.1,79464163.81,27228389.81,55470386.73,18299819.95,26350247.99,24551151.56,282514919.9,365854657.7,100843926.7,96741930.12,87,77,100,85,73,49,167,186,145,125
