"Accession"	"Description"	"Peptides.used.for.quantitation"	"Confidence.score"	"rawInt_Neil.left.2"	"rawInt_Neil.left.3"	"rawInt_Neil.right.2"	"rawInt_Neil.right.3"	"rawInt_Neil.mouse2.1"	"rawInt_Neil.mix.1"	"rawInt_Neil.mouse1.1"	"rawInt_Neil.mouse3.1"	"rawInt_Neil.liver.2"	"rawInt_Neil.liver.3"	"normInt_Neil.left.2"	"normInt_Neil.left.3"	"normInt_Neil.right.2"	"normInt_Neil.right.3"	"normInt_Neil.mouse2.1"	"normInt_Neil.mix.1"	"normInt_Neil.mouse1.1"	"normInt_Neil.mouse3.1"	"normInt_Neil.liver.2"	"normInt_Neil.liver.3"	"medianNormInt_Condition1"	"medianNormInt_Condition2"	"medianNormInt_Condition3"	"medianNormInt_Condition4"	"medianNormInt_Condition5"	"specCountSum_Condition1"	"specCountSum_Condition2"	"specCountSum_Condition3"	"specCountSum_Condition4"	"specCountSum_Condition5"	"medianRatio_Condition2_vs_Condition1"	"medianRatio_Condition3_vs_Condition1"	"medianRatio_Condition4_vs_Condition1"	"medianRatio_Condition5_vs_Condition1"	"qvalue_Condition2_vs_Condition1"	"qvalue_Condition3_vs_Condition1"	"qvalue_Condition4_vs_Condition1"	"qvalue_Condition5_vs_Condition1"	"cv_Condition1"	"cv_Condition2"	"cv_Condition3"	"cv_Condition4"	"cv_Condition5"
"sp|Q8VDD5|MYH9_MOUSE"	"Myosin-9 OS=Mus musculus GN=Myh9 PE=1 SV=4"	182	21297.23	109627122.1	40677932.03	64900068.78	22151137.87	154080758.3	216159969.1	312562012.7	510099927.3	473423346.4	458025256.5	109627122.1	110052819.382666	105697540.947723	105546647.029874	183155862.639651	197305665.300861	110080364.927486	136310550.308524	351496823.977308	357114024.947155	109839970.741333	105622093.988798	190230763.970256	123195457.618005	354305424.462232	451	430	672	608	927	0.961599800836916	1.73189015516254	1.12159040817776	3.22565111835838	0.860497591633687	0.122888236815117	0.494872954736792	0.00544745412596351	0.274047264646865	0.101018743826323	5.2596232099226	15.055378106734	1.12105562682128
"sp|P08032|SPTA1_MOUSE"	"Spectrin alpha chain, erythrocyte OS=Mus musculus GN=Spta1 PE=2 SV=3"	226	23124.89	326904352.5	118079531.9	182418596.7	63349446.05	411493192.1	514482704.3	467098522.8	667374247.5	99213043.55	94086071.32	326904352.5	319460325.254406	297090549.467432	301850029.601996	489142131.703925	469607544.266149	164506158.002846	178337902.183155	73661491.2849751	73357211.5155845	323182338.877203	299470289.534714	479374837.985037	171422030.093001	73509351.4002798	813	734	1100	843	541	0.926629501398904	1.48329528046142	0.530418929105326	0.227454729288937	0.736128790722448	0.204653743835184	0.0320864913440772	0.00464389510950198	1.62871590167471	1.12380452942483	2.88146939522191	5.70552110497588	0.292695125471019
"sp|P15508|SPTB1_MOUSE"	"Spectrin beta chain, erythrocyte OS=Mus musculus GN=Sptb PE=1 SV=4"	186	18437.88	261265976.8	96457819.73	153365736.9	49017204.11	356024421.5	415891752	377691908.7	542709653.7	80457023.38	75614367.27	261265976.8	260963487.646385	249774484.999635	233559177.454095	423206380.602395	379616073.980558	133018285.813767	145024626.73375	59735939.0908526	58955157.2897207	261114732.223193	241666831.226865	401411227.291476	139021456.273758	59345548.1902866	688	617	906	661	412	0.925519709934619	1.53729827449323	0.532415214913753	0.227277670949489	0.736477076077621	0.187165765977938	0.0320864913440772	0.00459219143460782	0.0819149995617494	4.74452942767019	7.67865951689495	6.10680200690721	0.930307534504822
"sp|P16546|SPTA2_MOUSE"	"Spectrin alpha chain, brain OS=Mus musculus GN=Sptan1 PE=1 SV=4"	111	8016.51	10479681.36	3510219.884	5726672.889	2498657.364	11772684.23	15766307.13	40063277.92	38084433.21	7033403.34	6690847.288	10479681.36	9496785.49544726	9326573.20027096	11905704.7269736	13994194.7295691	14391109.1890619	14109776.8584496	10177045.2635062	5222004.6910669	5216732.85788431	9988233.42772363	10616138.9636223	14192651.9593155	12143411.0609779	5219368.7744756	131	124	204	199	85	1.06286452358591	1.42093715190136	1.21577165259998	0.522551741731283	0.880436012982295	0.251522217087304	0.424727243594552	0.0165374189608058	6.95831085701664	17.1787633748268	1.97750854923325	22.9001650805284	0.0714214525504107
"sp|Q02357|ANK1_MOUSE"	"Ankyrin-1 OS=Mus musculus GN=Ank1 PE=1 SV=2"	111	9035.49	71491075.31	27634738.6	38800085.09	12591460.1	105245855.9	123142452.9	122628233	176508772.4	36363081.38	34398866.89	71491075.31	74764884.6453166	63190589.1575758	59996303.6917092	125105793.476699	112401494.584662	43188103.7700165	47167244.3230438	26998050.9248041	26820175.600315	73127979.9776583	61593446.4246425	118753644.030681	45177674.0465301	26909113.2625596	343	295	451	323	226	0.842269216836843	1.62391527930844	0.617789169895471	0.367972878107405	0.601510583320609	0.154514409876275	0.0459406574579431	0.00700958204813998	3.16559103919103	3.66711240411486	7.56464862203206	6.22802596132351	0.467413574445018
"sp|Q62261|SPTB2_MOUSE"	"Spectrin beta chain, brain 1 OS=Mus musculus GN=Sptbn1 PE=1 SV=2"	86	6133.54	5216766.331	1635808.546	3118083.958	1117418.984	7974638.711	11645865.69	20075616.67	28685265.79	3301329.701	2915027.185	5216766.331	4425626.70896815	5078173.4599749	5324323.64336724	9479456.41277885	10630068.4975899	7070376.81926831	7665369.38414728	2451097.76192367	2272794.07869449	4821196.51998407	5201248.55167107	10054762.4551844	7367873.10170779	2361945.92030908	85	82	157	141	43	1.0788294005672	2.08553258791815	1.52822501036156	0.489908658673985	0.78182565948006	0.0867710124702142	0.0791095299535653	0.0228596377369575	11.6033476189005	3.34639773773376	8.09174370166834	5.71024054803521	5.33796063820937
"sp|P11276|FINC_MOUSE"	"Fibronectin OS=Mus musculus GN=Fn1 PE=1 SV=3"	89	6461.97	6776394.21	2558222.755	3971990.769	1373698.452	26464892.48	13739164.3	71409783.2	105903081	86768092.08	80969377.64	6776394.21	6921188.28924254	6468863.05118571	6545454.52651856	31458828.8980404	12540781.5525513	25149617.274808	28299763.3951597	64421640.8434618	63130362.2150509	6848791.24962127	6507158.78885214	21999805.2252959	26724690.3349839	63776001.5292564	39	41	166	212	303	0.950117845862505	3.21221722541367	3.90210321222182	9.31200838290743	0.816022529707179	0.157827464686916	0.0271406787541538	0.00312770437267118	1.4949335083578	0.832288766054435	60.8054454474091	8.33495039795957	1.43168566961937
"sp|Q68FD5|CLH_MOUSE"	"Clathrin heavy chain 1 OS=Mus musculus GN=Cltc PE=1 SV=3"	75	5108.46	6345406.496	2523849.528	3483700.529	1143323.159	6320988.092	10676469.9	23060104.07	29528319.02	31349003.73	30342542.07	6345406.496	6828192.64384345	5673623.86874777	5447752.91509905	7513761.2217036	9745227.13643428	8121475.31737279	7890652.79151599	23275310.2054195	23657532.3565068	6586799.56992172	5560688.39192341	8629494.17906894	8006064.05444439	23466421.2809632	69	76	157	121	197	0.84421703330947	1.31011944229715	1.21547102951237	3.56264389584911	0.611846389403596	0.430241997213367	0.164438262627036	0.00549300038809131	5.18281079269413	2.87221422495211	18.2847875848843	2.03865685028263	1.15173878333466
"sp|Q9JMH9|MY18A_MOUSE"	"Myosin-XVIIIa OS=Mus musculus GN=Myo18a PE=1 SV=2"	63	3640.67	933897.9412	477951.5569	582023.0668	217138.0792	1925058.314	2180698.871	3816253.294	5407300.406	12776238.63	12131981.15	933897.9412	1293082.36039106	947894.325723272	1034628.39410638	2288317.63305453	1990489.9290786	1344035.86549224	1444956.2812658	9485817.15492092	9459086.71536221	1113490.15079553	991261.359914828	2139403.78106656	1394496.07337902	9472451.93514157	5	11	45	16	140	0.890229122553642	1.92134953285224	1.25236498264733	8.50699211697023	0.804723384207484	0.131761946686628	0.322979363824053	0.00743908663446951	22.8095181915254	6.18709155765603	9.84367658739064	5.11736904218985	0.199539413928739
"tr|E1WEJ8|E1WEJ8_SALTS"	"DNA-directed RNA polymerase OS=Salmonella typhimurium (strain SL1344) GN=rpoC"	64	4059.87	8628469.583	3067657.576	5299612.436	2004810.74	2854131.716	2626110.445	26137543.4	34717403.31	10515523.08	9905824.952	8628469.583	8299447.59459282	8631054.06498106	9552604.14965222	3392707.57944581	2397050.99265887	9205310.30282814	9277296.65737803	7807331.41528924	7723392.91082452	8463958.58879641	9091829.10731664	2894879.28605234	9241303.48010308	7765362.16305688	147	153	65	159	164	1.07418166239038	0.342024273356469	1.09184176448307	0.91746221127969	0.778347701305321	0.0685102614618183	0.399946948406469	0.370241126727761	2.74875729508126	7.16725211596431	24.3200304635215	0.55081017049947	0.764336349848933
"sp|Q8BTM8|FLNA_MOUSE"	"Filamin-A OS=Mus musculus GN=Flna PE=1 SV=4"	63	3367.92	2658473.576	1190308.338	1577952.431	603541.7695	4290354.51	8102895.453	11927113.15	18905206.28	3586811.339	2988642.327	2658473.576	3220340.41541209	2569884.66768125	2875780.48979034	5099946.2228696	7396129.74999026	4200577.53257301	5051910.29013299	2663055.81136058	2330190.47612804	2939406.99570604	2722832.5787358	6248037.98642993	4626243.911353	2496623.14374431	29	22	87	94	28	0.92632037098414	2.12561172901786	1.57386980370909	0.849362863799208	0.816988785715468	0.123766735778815	0.106259967515286	0.361086180152561	13.5163266894488	7.94397025506428	25.9865088272871	13.0123525143068	9.42758767395977
