"","","","","","","","","","Normalized abundance","","","","","","","","","Raw abundance","","","","","","","","","Spectral counts","","","","","","","","",
"","","","","","","","","","Condition 1","","","Condition 2","","Condition 3","","Condition 4","","Condition 1","","","Condition 2","","Condition 3","","Condition 4","","Condition 1","","","Condition 2","","Condition 3","","Condition 4","",
"Accession","Peptide count","Peptides used for quantitation","Confidence score","Anova (p)*","Max fold change","Highest mean condition","Lowest mean condition","Description","A11-03241","A11-03242","A11-03243","A11-03245","A11-03246","A11-03248","A11-03249","A11-03251","A11-03252","A11-03241","A11-03242","A11-03243","A11-03245","A11-03246","A11-03248","A11-03249","A11-03251","A11-03252","A11-03241","A11-03242","A11-03243","A11-03245","A11-03246","A11-03248","A11-03249","A11-03251","A11-03252",
"YDL229W","89","5","7999.22","6.02285525684865E-05","2.0720482643937","Condition 1","Condition 4","SSB1 SGDID:S000002388, Chr IV from 44066-45907, Verified ORF, """"Cytoplasmic ATPase that is a ribosome-associated molecular chaperone, functions with J-protein partner Zuo1p; may be involved in folding of newly-made polypeptide chains; member of the H","4604403.98025586","4439836.78823038","4114389.85362093","3399504.63944619","3424007.09483016","2391560.40249844","2400691.19996524","2232549.09742249","2001145.9209245","4839889.68554536","3623144.25024463","2728837.2371167","3399504.63944619","2875554.90777938","3092678.79429676","3108508.64248487","2923911.29979719","2526747.18200615","8","10","10","5","9","9","9","11","9",
"YNL209W","88","4","7891.97","3.03216634084391E-05","1.75100216084416","Condition 1","Condition 4","SSB2 SGDID:S000005153, Chr XIV from 252060-253901, Verified ORF, """"Cytoplasmic ATPase that is a ribosome-associated molecular chaperone, functions with J-protein partner Zuo1p; may be involved in the folding of newly-synthesized polypeptide chains; m","2458489.17601724","2362325.3440781","2387508.93540045","2011952.35385962","1873228.7800937","1470927.66778793","1441907.80490235","1418980.77664498","1325475.55687191","2584225.11492346","1927783.81184935","1583496.82909505","2011952.35385962","1573177.87691653","1902150.07798245","1867038.49011077","1858402.09821917","1673611.90062385","5","8","8","4","6","5","6","3","6",
"YHR174W","87","36","8741.94","3.0757355100719E-05","1.1877792988929","Condition 4","Condition 2","ENO2 SGDID:S000001217, Chr VIII from 451327-452640, Verified ORF, """"Enolase II, a phosphopyruvate hydratase that catalyzes the conversion of 2-phosphoglycerate to phosphoenolpyruvate during glycolysis and the reverse reaction during gluconeogenesis; ","118079923.546557","118104770.460732","116825357.572055","98799140.6824219","101043400.169998","107922006.148817","109860310.506238","118943533.942642","118425299.120021","124118953.613451","96379808.6352221","77483514.5244035","98799140.6824219","84858423.8321991","139560807.038672","142251416.87513","155777242.854018","149529720.796927","74","71","69","79","77","94","92","109","110",
"YGR254W","81","34","8277.49","0.000698945338745371","1.189408682177","Condition 1","Condition 2","ENO1 SGDID:S000003486, Chr VII from 1000932-1002245, Verified ORF, """"Enolase I, a phosphopyruvate hydratase that catalyzes the conversion of 2-phosphoglycerate to phosphoenolpyruvate during glycolysis and the reverse reaction during gluconeogenesis; ","72660837.813331","69197246.5703235","70043210.3356136","58284574.300905","60486653.7300524","63550823.393648","63038080.6394834","70419279.5361038","69978212.9887323","76376973.2160389","56468653.6921001","46455617.3262986","58284574.300905","50797994.6219216","82181609.8244092","81624166.6051548","92226292.9836147","88358000.5946886","77","76","70","72","73","79","77","76","81",
"YAL005C","81","23","6577.21","0.00199840505344695","1.27530999569182","Condition 4","Condition 2","SSA1 SGDID:S000000004, Chr I from 141433-139505, reverse complement, Verified ORF, """"ATPase involved in protein folding and nuclear localization signal (NLS)-directed nuclear transport; member of heat shock protein 70 (HSP70) family; forms a chaperon","20866937.0853709","21695091.8483229","22273009.2433657","19919413.5936985","21219385.4819058","22213205.1926836","22693245.7182139","25951864.9570343","26512856.7148413","21934146.9604929","17704355.1459265","14772401.0529656","19919413.5936985","17820496.9711324","28725307.7869189","29384100.0633992","33988480.3815911","33476462.3062616","46","55","46","50","44","47","46","49","45",
"YGR192C","77","17","6870.49","0.000505730098557144","1.5920840508671","Condition 4","Condition 2","TDH3 SGDID:S000003424, Chr VII from 883815-882817, reverse complement, Verified ORF, """"Glyceraldehyde-3-phosphate dehydrogenase, isozyme 3, involved in glycolysis and gluconeogenesis; tetramer that catalyzes the reaction of glyceraldehyde-3-phosphate","86843153.141666","93020872.6709923","98988601.8976988","90304089.0818198","94669806.8187027","129459807.595351","136760795.036433","141177594.709917","153316394.780056","91284622.9290309","75910006.6164764","65653424.3275063","90304089.0818198","79505742.8552289","167412707.30424","177083213.921894","184896612.095604","193584967.700346","61","57","63","58","65","68","67","71","74",
"YLL024C","73","11","5741.43","0.000770720645542844","1.40125853769487","Condition 1","Condition 4","SSA2 SGDID:S000003947, Chr XII from 97484-95565, reverse complement, Verified ORF, """"ATP binding protein involved in protein folding and vacuolar import of proteins; member of heat shock protein 70 (HSP70) family; associated with the chaperonin-conta","5952825.17758195","5631081.95404984","5336025.70455379","4397512.37226807","4269513.70580371","4075409.36576929","4135511.68455693","4156136.33601097","3893738.05953043","6257273.97082839","4595264.01027994","3539077.76337323","4397512.37226807","3585629.57100536","5270170.9354386","5354821.89992968","5443183.31470965","4916428.91531036","19","19","16","14","10","14","14","13","18",
"YLR259C","71","71","5997.43","0.000937785896259813","1.26702122172787","Condition 1","Condition 4","HSP60 SGDID:S000004249, Chr XII from 665004-663286, reverse complement, Verified ORF, """"Tetradecameric mitochondrial chaperonin required for ATP-dependent folding of precursor polypeptides and complex assembly; prevents aggregation and mediates prote","47443580.0861386","45947143.6323767","43578790.1414628","40396395.1773715","38959363.32684","36641732.5653679","36629618.2838453","35901312.1330364","36167732.7054228","49870014.6400897","37495326.3390482","28903295.3894393","40396395.1773715","32718912.4659252","47383753.7922191","47429459.0690811","47019011.7406705","45667192.850564","94","97","93","102","104","101","102","101","102",
